KIT ID Number,Borough,Zipcode,Date Collected,Received Date,First Draw at-the-tap Lead level (µg/l),First Draw at-the-tap copper level (mg/l)
1410108,MASPETH,11378,6/12/14,6/17/14,7,0.086
1410239,BROOKLYN,11210,6/12/14,6/16/14,5,0.087
1410041,BROOKLYN,11224,6/12/14,6/17/14,0,0.048
1410173,STATEN ISLAND,10308,6/12/14,6/17/14,1,0.143
1410166,STATEN ISLAND,10314,6/12/14,6/17/14,0,0.161
1410250,JAMAICA,11432,6/12/14,6/17/14,4,0.122
1410202,STATEN ISLAND,10305,6/12/14,6/17/14,0,0.156
1410116,FLUSHING,11358,6/12/14,6/17/14,4,0.177
1410203,STATEN ISLAND,10309,6/12/14,6/19/14,0,0.147
1410251,BRONX,10462,6/13/14,6/24/14,2,0.123
1410252,BROOKLYN,11234,6/13/14,6/17/14,4,0.17
1410010,BROOKLYN,11224,6/13/14,6/17/14,0,0.136
1410042,BROOKLYN,11212,6/13/14,6/17/14,7,0.2
1410112,RIDGEWOOD,11385,6/13/14,6/17/14,3,0.119
1410059,SOUTH RICHMOND HILL,11419,6/13/14,6/23/14,7,0.201
1410085,FLUSHING,11358,6/13/14,6/17/14,4960,0.43
1410207,STATEN ISLAND,10312,6/13/14,6/19/14,1,0.024
1410192,STATEN ISLAND,10314,6/13/14,6/17/14,1,0.159
1410178,STATEN ISLAND,10306,6/13/14,6/18/14,0,0.15
1410157,STATEN ISLAND,10306,6/13/14,6/19/14,0,0.224
1410110,LITTLE NECK,11362,6/13/14,6/18/14,5,0.139
1410241,STATEN ISLAND,10312,6/14/14,6/17/14,4,0.243
1410149,STATEN ISLAND,10314,6/14/14,6/17/14,0,0.147
1410245,BROOKLYN,11234,6/14/14,6/17/14,5,0.164
1410247,JAMAICA,11432,6/14/14,6/18/14,7,0.248
1410200,BAYSIDE,11360,6/14/14,6/18/14,0,0.126
1410049,BROOKLYN,11234,6/14/14,6/24/14,7,0.035
1410183,STATEN ISLAND,10309,6/14/14,6/18/14,0,0.161
